Fri Mar 22 18:42:29 2013    profile.txt.2.3.0

         51947050 function calls (45960478 primitive calls) in 278.010 CPU seconds

   Ordered by: cumulative time
   List reduced from 1171 to 117 due to restriction <0.10000000000000001>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  278.010  278.010 profile:0(<function _main at 0xde4050>)
        1    0.000    0.000  278.010  278.010 /usr/lib/scons/SCons/Script/Main.py:812(_main)
        1    0.000    0.000  268.380  268.380 /usr/lib/scons/SCons/Job.py:100(run)
        1    0.000    0.000  268.380  268.380 /usr/lib/scons/SCons/Script/Main.py:1076(_build_targets)
        1    0.000    0.000  267.500  267.500 /usr/lib/scons/SCons/Job.py:369(start)
     1358    0.000    0.000  262.000    0.193 /usr/lib/scons/SCons/Script/Main.py:207(executed)
     1358    0.030    0.000  262.000    0.193 /usr/lib/scons/SCons/Taskmaster.py:279(executed_with_callbacks)
    11430    0.230    0.000  261.430    0.023 /usr/lib/scons/SCons/Node/__init__.py:686(get_binfo)
     4188    0.120    0.000  261.260    0.062 /usr/lib/scons/SCons/Node/FS.py:2726(visited)
     4188    0.030    0.000  260.640    0.062 /usr/lib/scons/SCons/Node/FS.py:2499(store_info)
     4188    0.080    0.000  260.600    0.062 /usr/lib/scons/SCons/SConsign.py:165(store_info)
     5760    0.020    0.000  259.860    0.045 /usr/lib/scons/SCons/Executor.py:420(get_contents)
6397/6393    0.050    0.000  259.840    0.041 /usr/lib/scons/SCons/Environment.py:501(subst)
     2003    0.030    0.000  259.770    0.130 /usr/lib/scons/SCons/Action.py:434(get_contents)
6397/6393    0.260    0.000  259.740    0.041 /usr/lib/scons/SCons/Subst.py:386(scons_subst)
     1841    0.000    0.000  259.680    0.141 /usr/lib/scons/SCons/Action.py:976(get_presig)
     1841    0.030    0.000  259.650    0.141 /usr/lib/scons/SCons/Action.py:815(get_presig)
31947/8661   64.810    0.002  259.350    0.030 :0(sub)
1979207/2887   12.770    0.000  194.790    0.067 /usr/lib/scons/SCons/Subst.py:494(substitute)
27008/2887    0.260    0.000  194.740    0.067 /usr/lib/scons/SCons/Subst.py:503(sub_match)
1980050/2887   16.430    0.000  194.690    0.067 /usr/lib/scons/SCons/Subst.py:411(expand)
32250/30407   13.330    0.000  168.800    0.006 :0(map)
  1941994   11.570    0.000  120.430    0.000 /usr/lib/scons/SCons/Subst.py:472(func)
  1968823   15.090    0.000   66.360    0.000 /usr/lib/scons/SCons/Util.py:416(to_String_for_signature)
     3688    0.130    0.000   44.170    0.012 /usr/lib/scons/SCons/Subst.py:181(_gen_nodelist)
  1944776   15.190    0.000   25.120    0.000 /usr/lib/scons/SCons/Node/FS.py:545(__getattr__)
1974537/32543   15.650    0.000   22.980    0.001 /usr/lib/scons/SCons/Util.py:396(to_String_for_subst)
  3989076   10.860    0.000   22.840    0.000 /usr/lib/scons/SCons/Util.py:324(is_String)
    12885    0.370    0.000   22.690    0.002 :0(eval)
    12885    0.070    0.000   22.320    0.002 <string>:0(?)
     3686    0.030    0.000   22.210    0.006 /usr/lib/scons/SCons/Subst.py:232(__getattr__)
     3707    0.020    0.000   22.110    0.006 /usr/lib/scons/SCons/Subst.py:207(__getattr__)
  8134212   21.630    0.000   21.630    0.000 :0(isinstance)
  1933844   10.580    0.000   18.230    0.000 /usr/lib/scons/SCons/Subst.py:296(get_src_subst_proxy)
  3381924   11.050    0.000   16.430    0.000 /usr/lib/scons/SCons/Subst.py:275(get_tgt_subst_proxy)
  1958521    5.390    0.000   11.060    0.000 /usr/lib/scons/SCons/Util.py:318(is_Sequence)
  1949061    6.450    0.000    9.990    0.000 /usr/lib/scons/SCons/Util.py:513(__getattr__)
        1    0.000    0.000    9.630    9.630 /work/Aic/SConstruct:1(?)
     18/1    0.000    0.000    9.630    9.630 /usr/lib/scons/SCons/Script/SConscript.py:164(_SConscript)
    308/2    0.000    0.000    9.420    4.710 /usr/lib/scons/SCons/Script/SConscript.py:606(__call__)
     17/2    0.010    0.001    9.390    4.695 /usr/lib/scons/SCons/Script/SConscript.py:520(SConscript)
  5319890    8.850    0.000    8.870    0.000 /usr/lib/scons/SCons/Node/FS.py:795(get_subst_proxy)
      173    0.010    0.000    6.760    0.039 /usr/lib/scons/SCons/Builder.py:604(__call__)
  515/173    0.050    0.000    6.750    0.039 /usr/lib/scons/SCons/Builder.py:537(_execute)
    92/91    0.010    0.000    6.720    0.074 /usr/lib/scons/SCons/Environment.py:221(__call__)
       91    0.000    0.000    6.710    0.074 /usr/lib/scons/SCons/Environment.py:251(__call__)
      515    0.040    0.000    6.180    0.012 /usr/lib/scons/SCons/Builder.py:474(_create_nodes)
        1    0.000    0.000    5.900    5.900 /work/Aic/src/java/SConscript.py:1(?)
